014130의 제 40 기는 언제를 말하는 거야?	SELECT thstrm_dt FROM "014130" WHERE thstrm_nm = "제 40 기"
014130의 제 40 기는 언제야?	SELECT thstrm_dt FROM "014130" WHERE thstrm_nm = "제 40 기"
014130의 제 41 기는 언제를 말하는 거야?	SELECT thstrm_dt FROM "014130" WHERE thstrm_nm = "제 41 기"
014130의 제 41 기는 언제야?	SELECT thstrm_dt FROM "014130" WHERE thstrm_nm = "제 41 기"
014130의 제 42 기는 언제를 말하는 거야?	SELECT thstrm_dt FROM "014130" WHERE thstrm_nm = "제 42 기"
014130의 제 42 기는 언제야?	SELECT thstrm_dt FROM "014130" WHERE thstrm_nm = "제 42 기"
014130의 2018연도의 접수번호는 뭐야?	SELECT rcept_no FROM "014130" WHERE bsns_year = 2018
014130의 2019연도의 접수번호는 뭐야?	SELECT rcept_no FROM "014130" WHERE bsns_year = 2019
014130의 2020연도의 접수번호는 뭐야?	SELECT rcept_no FROM "014130" WHERE bsns_year = 2020
014130의 제 40 기의 접수번호는 뭐야?	SELECT rcept_no FROM "014130" WHERE thstrm_nm = "제 40 기"
014130의 제 41 기의 접수번호는 뭐야?	SELECT rcept_no FROM "014130" WHERE thstrm_nm = "제 41 기"
014130의 제 42 기의 접수번호는 뭐야?	SELECT rcept_no FROM "014130" WHERE thstrm_nm = "제 42 기"
014130의 2018연도 의 접수번호는?	SELECT rcept_no FROM "014130" WHERE bsns_year = 2018
014130의 2019연도 의 접수번호는?	SELECT rcept_no FROM "014130" WHERE bsns_year = 2019
014130의 2020연도 의 접수번호는?	SELECT rcept_no FROM "014130" WHERE bsns_year = 2020
014130의 제 40 기 의 접수번호는?	SELECT rcept_no FROM "014130" WHERE thstrm_nm = "제 40 기"
014130의 제 41 기 의 접수번호는?	SELECT rcept_no FROM "014130" WHERE thstrm_nm = "제 41 기"
014130의 제 42 기 의 접수번호는?	SELECT rcept_no FROM "014130" WHERE thstrm_nm = "제 42 기"
014130의 2018연도의 보고서 번호가 어떻게 돼?	SELECT rcept_no FROM "014130" WHERE bsns_year = 2018
014130의 2019연도의 보고서 번호가 어떻게 돼?	SELECT rcept_no FROM "014130" WHERE bsns_year = 2019
014130의 2020연도의 보고서 번호가 어떻게 돼?	SELECT rcept_no FROM "014130" WHERE bsns_year = 2020
014130의 제 40 기의 보고서 번호가 어떻게 돼?	SELECT rcept_no FROM "014130" WHERE thstrm_nm = "제 40 기"
014130의 제 41 기의 보고서 번호가 어떻게 돼?	SELECT rcept_no FROM "014130" WHERE thstrm_nm = "제 41 기"
014130의 제 42 기의 보고서 번호가 어떻게 돼?	SELECT rcept_no FROM "014130" WHERE thstrm_nm = "제 42 기"
014130의 2018연도의 접수번호는 뭐야?	SELECT rcept_no FROM "014130" WHERE bsns_year = 2018
014130의 2019연도의 접수번호는 뭐야?	SELECT rcept_no FROM "014130" WHERE bsns_year = 2019
014130의 2020연도의 접수번호는 뭐야?	SELECT rcept_no FROM "014130" WHERE bsns_year = 2020
